sample,wgs,wgs_meta,typed,imputed,typed_meta,imputed_meta,typed_match,typed_meta_match,imputed_match,imputed_meta_match
ADNI_1004,U,U,U,U,U,U,TRUE,TRUE,TRUE,TRUE
ADNI_1007,H2a2a,H,H2a,H2a2a,H,H,FALSE,TRUE,TRUE,TRUE
ADNI_1010,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1016,N1a1b,N,L3'4,I,L3,I,FALSE,FALSE,FALSE,FALSE
ADNI_1023,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1030,K,K,K,K,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_1034,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1043,B2,B,B2,B2,B,B,TRUE,TRUE,TRUE,TRUE
ADNI_1045,U,U,U,U,U,U,TRUE,TRUE,TRUE,TRUE
ADNI_1046,L0,L0,L0,L0,L0,L0,TRUE,TRUE,TRUE,TRUE
ADNI_1052,U,U,U,U,U,U,TRUE,TRUE,TRUE,TRUE
ADNI_1063,L1,L1,L1,L1,L1,L1,TRUE,TRUE,TRUE,TRUE
ADNI_1066,HV,HV,R,HV,R,HV,FALSE,FALSE,TRUE,TRUE
ADNI_1078,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1080,K1,K,K1,K1,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_1097,U8b,U,U,U8b,U,U,FALSE,TRUE,TRUE,TRUE
ADNI_1098,W,W,N,W,N,W,FALSE,FALSE,TRUE,TRUE
ADNI_1106,J,J,L3'4,J,L3,J,FALSE,FALSE,TRUE,TRUE
ADNI_1116,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1117,L3,L3,L3'4,L3,L3,L3,FALSE,TRUE,TRUE,TRUE
ADNI_1118,K1,K,K1,K1,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_1130,X2,X,N,X2,N,X,FALSE,FALSE,TRUE,TRUE
ADNI_1133,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1155,HV,HV,R,HV,R,HV,FALSE,FALSE,TRUE,TRUE
ADNI_1169,U8b,U,U,U,U,U,FALSE,TRUE,FALSE,TRUE
ADNI_1186,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1187,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1190,H2a,H,H2a,H2a,H,H,TRUE,TRUE,TRUE,TRUE
ADNI_1195,U,U,R,R,R,R,FALSE,FALSE,FALSE,FALSE
ADNI_1202,K1,K,K1,K1,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_1203,T,T,T,T1,T,T,TRUE,TRUE,FALSE,TRUE
ADNI_1206,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1218,T,T,JT,H,JT,H,FALSE,FALSE,FALSE,FALSE
ADNI_1222,L3,L3,L3'4,L3,L3,L3,FALSE,TRUE,TRUE,TRUE
ADNI_1226,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1232,N1a1b,N,L3'4,I,L3,I,FALSE,FALSE,FALSE,FALSE
ADNI_1243,J,J,L3'4,J,L3,J,FALSE,FALSE,TRUE,TRUE
ADNI_1246,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1249,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1250,L1b,L1,L1b,L1b,L1,L1,TRUE,TRUE,TRUE,TRUE
ADNI_1255,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1256,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1260,HV,HV,R,R,R,R,FALSE,FALSE,FALSE,FALSE
ADNI_1261,R,R,R,HV,R,HV,TRUE,TRUE,FALSE,FALSE
ADNI_1268,U,U,U,U,U,U,TRUE,TRUE,TRUE,TRUE
ADNI_1269,J,J,L3'4,J,L3,J,FALSE,FALSE,TRUE,TRUE
ADNI_1271,W,W,N,W,N,W,FALSE,FALSE,TRUE,TRUE
ADNI_1280,B2,B,B2,B2,B,B,TRUE,TRUE,TRUE,TRUE
ADNI_1282,T,T,T,T,T,T,TRUE,TRUE,TRUE,TRUE
ADNI_1286,J,J,L3'4,J,L3,J,FALSE,FALSE,TRUE,TRUE
ADNI_1288,J,J,L3'4,J,L3,J,FALSE,FALSE,TRUE,TRUE
ADNI_1300,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1318,N1a1b,N,L3'4,I,L3,I,FALSE,FALSE,FALSE,FALSE
ADNI_1326,U,U,U,U,U,U,TRUE,TRUE,TRUE,TRUE
ADNI_1346,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1351,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1352,K1,K,K1,K1,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_1378,A2,A,A,A2,A,A,FALSE,TRUE,TRUE,TRUE
ADNI_1380,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1387,A,A,A,A2,A,A,TRUE,TRUE,FALSE,TRUE
ADNI_1394,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1406,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1407,L2,L2,unclassified,L2,unclassified,L2,FALSE,FALSE,TRUE,TRUE
ADNI_1408,V,V,R,V,R,V,FALSE,FALSE,TRUE,TRUE
ADNI_1414,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_1418,K1,K,K1,K1,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_1425,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
