array,MAF,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
NA,0.05,TRUE,0.7148071334214,550,140,67,757,657,0.355169692186267,0.934096290449882
NA,0.05,TRUE,0.715581241743725,550,140,67,757,658,0.355169692186267,0.933701657458563
NA,0.05,TRUE,0.701547270306258,559,131,61,751,640,0.355169692186267,0.935280189423836
NA,0.05,TRUE,0.598209959623149,590,100,53,743,534,0.326361483820047,0.872138910812944
NA,0.05,TRUE,0.70266844207723,559,131,61,751,642,0.355169692186267,0.934885556432518
NA,0.05,TRUE,0.714993394980185,550,140,67,757,659,0.355169692186267,0.934096290449882
NA,0.05,TRUE,0.701940079893475,559,131,61,751,642,0.355169692186267,0.934885556432518
NA,0.05,TRUE,0.369772005772006,662,28,3,693,326,0.0485398579321231,0.661404893449092
NA,0.05,TRUE,0.598098250336474,590,100,53,743,533,0.326361483820047,0.872138910812944
NA,0.05,TRUE,0.665823529411765,570,120,58,748,611,0.363062352012628,0.921468034727703
NA,0.05,TRUE,0.733230566534914,531,159,69,759,661,0.388713496448303,0.94672454617206
NA,0.05,TRUE,0.732916996047431,531,159,69,759,661,0.388713496448303,0.946329913180742
NA,0.05,TRUE,0.732901185770751,531,159,69,759,659,0.388713496448303,0.946329913180742
NA,0.05,TRUE,0.672884,566,124,60,750,609,0.335043409629045,0.913575374901342
NA,0.05,TRUE,0.71102,542,148,60,750,640,0.380820836621942,0.929755327545383
NA,0.05,TRUE,0.811851335656214,468,222,171,861,803,0.623125493291239,0.95698500394633
NA,0.05,TRUE,0.810975524475524,471,219,168,858,801,0.635753749013418,0.95698500394633
NA,0.05,TRUE,0.769496453900709,504,186,156,846,748,0.558011049723757,0.891870560378848
NA,0.05,TRUE,0.801081367924528,476,214,158,848,789,0.554853985793212,0.955406471981058
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,TRUE,0.683502702702703,570,120,50,740,613,0.207182320441989,0.904498816101026
NA,0.05,TRUE,0.683560810810811,570,120,50,740,612,0.207182320441989,0.905288082083662
NA,0.05,TRUE,0.683716216216216,571,119,50,740,614,0.207182320441989,0.904498816101026
NA,0.05,TRUE,0.656097165991903,583,107,51,741,593,0.207971586424625,0.897000789265983
NA,0.05,TRUE,0.0110608695652174,689,1,0,690,11,0.956590370955012,0.956590370955012
NA,0.05,TRUE,0.011068115942029,689,1,0,690,11,0.956590370955012,0.956590370955012
NA,0.05,TRUE,0.848304865938431,409,281,317,1007,943,0.683109707971586,0.979084451460142
NA,0.05,TRUE,0.66113625,581,109,110,800,624,0.503157063930545,0.885556432517759
NA,0.05,TRUE,0.660028858218319,585,105,107,797,621,0.503157063930545,0.885951065509077
NA,0.05,TRUE,0.645725563909774,587,103,108,798,606,0.490923441199684,0.859905288082084
NA,0.05,TRUE,0.638059119496855,591,99,105,795,604,0.390686661404893,0.88318863456985
NA,0.05,TRUE,0.801242030696576,477,213,157,847,789,0.642067876874507,0.961720599842147
NA,0.05,TRUE,0.801159386068477,477,213,157,847,787,0.642067876874507,0.961325966850829
NA,0.05,TRUE,0.800846517119244,477,213,157,847,787,0.642067876874507,0.961720599842147
NA,0.05,TRUE,0.794037691401649,482,208,159,849,776,0.630228887134964,0.948303078137332
NA,0.05,TRUE,0.794389870435807,482,208,159,849,776,0.630228887134964,0.947513812154696
NA,0.05,TRUE,0.794195524146054,482,208,159,849,777,0.630228887134964,0.948303078137332
NA,0.05,TRUE,0.776551724137931,496,194,151,841,752,0.560378847671665,0.925808997632202
NA,0.05,TRUE,0.784698337292162,491,199,152,842,762,0.560378847671665,0.930544593528019
NA,0.05,TRUE,0.796393404004711,486,204,159,849,779,0.539068666140489,0.949486977111286
NA,0.05,TRUE,0.553844604316547,568,122,5,695,455,0.616022099447514,0.91594317284925
NA,0.05,TRUE,0.552788489208633,568,122,5,695,454,0.616022099447514,0.91594317284925
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,TRUE,0.75526714801444,515,175,141,831,720,0.552486187845304,0.891870560378848
NA,0.05,TRUE,0.755327316486161,515,175,141,831,723,0.552486187845304,0.89147592738753
